CPD_ID,DO_CHEMISTRY,CHEMISTRY_COMMENT,MW,MW_DES,ALOGP,ALOGP_DES,HBD,HBD_DES,HBA,HBA_DES,PSA,PSA_DES,ROTB,ROTB_DES,AROM,AROM_DES,ALERTS,ALERTS_DES,UNWEIGHTED_QED,QED
14339,NO,too simple,210.35885,0.511,3.135,0.992,0,0.592,2,0.93,50.6,0.998,2,0.87,1,0.827,0,0.842,0.801,0.753
14340,NO,too simple,131.12985,0.159,-0.661,0.286,2,0.792,3,0.985,66.4,0.964,2,0.87,0,0.472,0,0.842,0.575,0.522
14341,NO,too simple,165.14938,0.269,-0.452,0.339,2,0.792,3,0.985,66.63,0.962,1,0.637,1,0.827,0,0.842,0.646,0.592
14342,NO,too simple,294.13276,0.989,4.523,0.68,0,0.592,3,0.985,30.82,0.833,2,0.87,2,0.938,1,0.64,0.802,0.763
14343,NO,too simple,393.56995,0.609,4.397,0.731,4,0.147,4,0.887,121.71,0.464,19,0.009,1,0.827,3,0.082,0.252,0.158
14344,NO,too simple,219.23498,0.571,-1.059,0.203,4,0.147,5,0.726,106.86,0.616,6,0.689,0,0.472,0,0.842,0.462,0.455
14345,NO,too simple,219.23498,0.571,-1.059,0.203,4,0.147,5,0.726,106.86,0.616,6,0.689,0,0.472,0,0.842,0.462,0.455
14346,NO,too simple,460.43563,0.283,3.687,0.932,2,0.792,10,0.062,217.13,0.042,7,0.533,2,0.938,3,0.082,0.262,0.346
14347,NO,too simple,147.17232,0.204,-0.079,0.447,1,0.987,4,0.887,51.05,0.999,3,0.993,0,0.472,4,0.027,0.421,0.262
14348,NO,too simple,215.29087,0.544,2.224,0.977,1,0.987,2,0.93,21.26,0.642,2,0.87,1,0.827,0,0.842,0.813,0.816
14349,NO,too simple,162.22826,0.257,2.275,0.981,1,0.987,1,0.233,20.23,0.619,2,0.87,1,0.827,0,0.842,0.62,0.707
14350,NO,too simple,383.36447,0.672,8.071,0.028,0,0.592,0,0.028,0,0.218,8,0.4,3,0.257,3,0.082,0.166,0.21
14351,NO,too simple,220.30894,0.578,5.045,0.449,0,0.592,0,0.028,0,0.218,2,0.87,3,0.257,1,0.64,0.329,0.53
